Carimbo de data/hora,Em qual instituição você está fazendo pós graduação?,"Se você estuda na UFPR, em qual setor você está inserido?  ",Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?,Em qual grande área do conhecimento sua pesquisa está inserida hoje?,Em qual ano você concluiu sua graduação?,Em qual instituição você concluiu sua graduação? (Responda com a sigla da instituição),De quais programas de graduação você participou?,"Se você já concluiu o mestrado, qual o ano de início do mestrado?",Qual o ano de conclusão do seu mestrado?,Em qual instituição você fez seu mestrado?,Quantos artigos (com qualis) você já publicou?,Você é bolsista remunerado de algum programa? Qual?,Quantas disciplinas de Estatística você cursou na graduação?,Quantas disciplinas de Estatística você cursou na pós-graduação (mestrado + doutorado)? ,Já utilizou algum software com funcionalidades estatísticas?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?,Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ,"Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?",Como tomou conhecimento da Disciplina Transversal?,"Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ",Tem/teve contato ou conhecimento sobre os professores coordenadores da disciplina?,Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?,Você cursou o ensino médio em escola pública ou particular?,Você cursou ensino médio tradicional ou profissionalizante?,Qual o seu sexo?,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Com quem você mora?,Quantos irmãos você tem?,Qual a sua origem?,Qual seu meio de transporte predominante que utiliza para a Universidade?,"Em média, quanto tempo você demora para chegar à Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?",Possui animal de estimação?,Toca algum instrumento musical?,De quais redes sociais você participa?,Você pratica atividade física regularmente?,Quantas vezes por semana você se exercita?,Qual atividade você pratica?,Quantos anos você acha que a pessoa da foto abaixo tem?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?",
18/03/2024 12:50:34,UFPR,SD - Saúde,Doutorado,Ciências Biológicas,2013,UEPG,"Iniciação científica, Monitoria",2019,2021,UFPR,2,Não,1,2,Sim,SPSS,Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Site da UFPR ou instituição de origem,Não,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,182,105,16/04/1990,Trabalho por contrato,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,1,Interior do Paraná,Carro/moto próprio,120,0,Cachorro,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",Não,2,Pilates,32,"A da esquerda se chama Bouba, a da direita se chama Kiki.",23
18/03/2024 12:51:53,UFPR,TC - Tecnologia,Mestrado Acadêmico,Ciências Humanas,2025,UCACUE - Ecuador,Não participei,,,,0,Observatorio Nacional de Segurança Viária,0,0,Não,Nunca usei,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a)  orientador(a),Não,Não,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Masculino,175,85,09/01/1993,Bolsista em tempo integral,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,3,Outro País,Transporte público,40,4,Não possuo,Bateria,"Facebook, Instagram",Não,3,"Caminhada, Corrida, Musculação",35,"A da esquerda se chama Kiki, a da direita se chama Bouba.",38
18/03/2024 12:52:22,UFPR,AG - Agrárias,Mestrado Profissional,Ciências Exatas,2023,UFPR ,"Iniciação científica, Monitoria, Empresa Júnior",,2025,UFPR,0,Não,2,0,Sim,"R, Statistica, Excel ou similares",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,161,69,18/01/2001,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,0,Curitiba,Transporte público,60,8,Cachorro,"Teclado, Piano","Facebook, Google+, Instagram, Linkedin",Sim,4,Dança,27,"A da esquerda se chama Kiki, a da direita se chama Bouba.",32
18/03/2024 12:52:47,UEM,,Mestrado Acadêmico,Ciências Exatas,2023,UNIAMERICA ,Projeto de extensão,,,,0,Não sei o nome ,1,1,Sim,Excel ou similares,Não sei ainda,7,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a)  orientador(a),Não,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,163,90,01/02/2001,Bolsista em tempo integral,Sozinho,1,Interior do Paraná,A pé,15,0,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram",Sim,5,"Caminhada, Corrida, Musculação",26,"A da esquerda se chama Kiki, a da direita se chama Bouba.",25
18/03/2024 12:53:12,UFPR,ET - Exatas,Mestrado Acadêmico,Ciências Exatas,2021,UFPR,Não participei,2023,2025,UFPR,0,CNPQ,0,0,Não,Nunca usei,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Sim,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,172,98,12/06/1995,Bolsista em tempo integral,Sozinho,1,Outro Estado,Táxi/Aplicativo,15,10,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin, Outras",Não,0,Nenhuma,29,"A da esquerda se chama Kiki, a da direita se chama Bouba.",34
18/03/2024 12:53:19,UFPR,SL - Litoral,Mestrado Acadêmico,Ciências Humanas,2022,UFPR LITORAL,"Monitoria, Projeto de extensão",,2025,,0,CAPES,0,1,Sim,Excel ou similares,Certamente sim,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Sim,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,175,70,29/04/1986,Bolsista em tempo integral,Sozinho,2,Outro País,Bicicleta,15,5,Não possuo,Outro,"Instagram, Linkedin",Sim,6,"Caminhada, Ciclismo, Pilates",36,"A da esquerda se chama Bouba, a da direita se chama Kiki.",27
18/03/2024 12:53:26,UTFPR,,Mestrado Acadêmico,Ciências Humanas,2012,UNIOESTE-FB,"Monitoria, Projeto de extensão",,,,0,Não,0,0,Não,Nunca usei,Não sei ainda,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a)  orientador(a),Sim,Sim,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,180,72,01/03/1989,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,3,Interior do Paraná,Carro/moto próprio,75,0,"Cachorro, Gato",Guitarra,"Instagram, Outras",Sim,4,"Musculação, Pilates",28,"A da esquerda se chama Kiki, a da direita se chama Bouba.",35
18/03/2024 12:53:38,UFPR,"AC - Artes, Comunicação e Design",Mestrado Acadêmico,Ciências Humanas,2016,UTFPR,Monitoria,,,,0,Fundação Araucária,1,0,Sim,Excel ou similares,Não sei ainda,5,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a)  orientador(a),Não,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,182,80,16/09/1988,Bolsista em tempo integral,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,3,Curitiba,Táxi/Aplicativo,20,30,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",Não,0,Nenhuma,30,"A da esquerda se chama Kiki, a da direita se chama Bouba.",37
18/03/2024 12:57:16,UEPG,,Mestrado Acadêmico,Ciências Biológicas,2020,Unopar ,Não participei,,,,0,Não,1,0,Sim,"R, SAS, Excel ou similares",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Pelo(a)  orientador(a),Não,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,152,60,20/04/1994,Desempregada,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,2,Interior do Paraná,A pé,25,2,Cachorro,Não toco nenhum instrumento,"Instagram, Linkedin",Sim,2,Musculação,28,"A da esquerda se chama Kiki, a da direita se chama Bouba.",24
18/03/2024 12:57:32,UFPR,TC - Tecnologia,Mestrado Acadêmico,Ciências Exatas,2023,Ufpr,"Iniciação científica, Empresa Júnior",,,,1,CAPES,1,0,Sim,"R, Excel ou similares",Certamente sim,10,Conseguir um emprego.,Email institucional da SuCom (Superintendência de Comunicação e Marketing),Não,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,163,66,26/09/1997,Bolsista em tempo integral,Com outros familiares,2,Interior do Paraná,Transporte público,35,15,Cachorro,Violão,"Instagram, Linkedin",Sim,4,"Musculação, Basquete",30,"A da esquerda se chama Kiki, a da direita se chama Bouba.",34
18/03/2024 12:57:34,UFPR,AG - Agrárias,Mestrado Acadêmico,Ciências Biológicas,2020,UFPR ,Projeto de extensão,,,,4,Não,1,0,Sim,Excel ou similares,Certamente sim,9,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,160,90,29/07/1995,Trabalho ocasional,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,0,Outro Estado,Carro/moto próprio,15,2,"Cachorro, Gato",Não toco nenhum instrumento,"Facebook, Google+, Instagram, Linkedin",Sim,4,"Caminhada, Musculação",30,"A da esquerda se chama Kiki, a da direita se chama Bouba.",32
18/03/2024 13:00:56,UFPR,AG - Agrárias,Mestrado Acadêmico,Ciências Biológicas,2022,UFPR,"Iniciação científica, Monitoria, Projeto de extensão, Empresa Júnior",,,,0,Não,4,2,Sim,"R, SPSS, Excel ou similares, Matlab",Certamente sim,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Não,Não,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Feminino,167,72,05/03/1997,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,3,Região metropolitana,Carro/moto próprio,27,0,Cachorro,Não toco nenhum instrumento,Linkedin,Não,0,Nenhuma,26,"A da esquerda se chama Bouba, a da direita se chama Kiki.",16
18/03/2024 13:01:59,UFPR,ET - Exatas,Mestrado Acadêmico,Ciências Exatas,2023,Senai,Não participei,,,,0,Não,1,0,Sim,"Minitab, Excel ou similares",Não sei ainda,7,Aumento salarial e oportunidades mais promissoras.,Site da UFPR ou instituição de origem,Não,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,164,45,11/01/2000,Trabalho por contrato,"Pensão, quarto alugado ou algo similar",2,Outro Estado,A pé,120,0,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin, Outras",Não,0,Nenhuma,29,"A da esquerda se chama Kiki, a da direita se chama Bouba.",34
18/03/2024 13:03:53,UFPR,SD - Saúde,Doutorado,Ciências Biológicas,2008,UNIGRAN,Não participei,2018,2022,UFPR,5,Não,1,1,Sim,"Statistica, Excel ou similares",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,email do meu programa de pós graduação,Não,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,167,83,27/01/1987,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,3,Outro Estado,Carro/moto próprio,18,0,Gato,Não toco nenhum instrumento,"Facebook, Instagram",Sim,3,"Caminhada, Musculação",34,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
18/03/2024 13:03:58,Universidade Estadual de Maringá UEM,,Mestrado Acadêmico,Ciências Humanas,2015,UEM,"Monitoria, PIBID",,,,0,Não,0,0,Não,Nunca usei,Não sei ainda,6,Aumento salarial e oportunidades mais promissoras.,Site da UFPR ou instituição de origem,Não,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,170,80,02/04/1987,concursada,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,0,Interior do Paraná,Carro/moto próprio,45,0,Cachorro,Não toco nenhum instrumento,Instagram,Não,2,Caminhada,32,"A da esquerda se chama Kiki, a da direita se chama Bouba.",31
18/03/2024 13:04:13,UEM,,Mestrado Acadêmico,Ciências Humanas,2017,CEALPA,Não participei,,,,0,Não,0,1,Não,Nunca usei,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a)  orientador(a),Não,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,173,0,27/03/1995,Desempregada ,"Pensão, quarto alugado ou algo similar",2,Outro Estado,A pé,30,10,Não possuo,Não toco nenhum instrumento,Nenhuma,Não,0,Nenhuma,31,"A da esquerda se chama Kiki, a da direita se chama Bouba.",29
18/03/2024 13:11:53,UEM,,Mestrado Acadêmico,Ciências Exatas,2023,UEM,Iniciação científica,,,,2,CNPQ,1,0,Sim,"R, Excel ou similares",Certamente sim,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Sim,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,163,98,23/09/1999,Bolsista em tempo integral,Com outros familiares,2,Outro Estado,A pé,5,7,Não possuo,Não toco nenhum instrumento,"Twitter, Instagram, Linkedin, Outras",Não,2,Caminhada,28,"A da esquerda se chama Kiki, a da direita se chama Bouba.",33
18/03/2024 13:13:28,UFPR,CT - Ciências da Terra,Mestrado Acadêmico,Ciências Exatas,2023,UFPR,"Iniciação científica, Projeto de extensão",,,,1,Fundação Araucária,1,0,Sim,Excel ou similares,Certamente sim,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a)  orientador(a),Não,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,168,69,29/08/1995,Bolsista em tempo integral,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,2,Outro Estado,Transporte público,50,1,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",Sim,2,Caminhada,34,"A da esquerda se chama Bouba, a da direita se chama Kiki.",19
18/03/2024 13:16:44,UTFPR,,Mestrado Acadêmico,Ciências Biológicas,2023,UTFPR,"Iniciação científica, Projeto de extensão, Empresa Júnior, Estágio em laboratórios do departamento; CALEM",,,,1,CAPES,3,0,Sim,"Excel ou similares, GENES",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Não,Não,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Feminino,162,64,02/07/2000,Bolsista em tempo integral,Com os pais,1,Interior do Paraná,Transporte público,70,0,"Cachorro, Tartaruga, Outro",Outro,"Facebook, Google+, Instagram, Linkedin",Sim,1,Caminhada,30,"A da esquerda se chama Bouba, a da direita se chama Kiki.",27
18/03/2024 13:19:50,UEM,,Mestrado Acadêmico,Ciências Humanas,2022,UEM,"Iniciação científica, Projeto de extensão",,,,0,CAPES,0,0,Não,Nunca usei,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,E-mail do meu programa de pós-graduação,Não,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,165,56,19/05/2000,Bolsista em tempo integral,Com os pais,1,Interior do Paraná,Carro/moto próprio,15,1,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram",Não,0,Nenhuma,32,"A da esquerda se chama Kiki, a da direita se chama Bouba.",37
18/03/2024 13:20:38,UFPR,ED - Educação,Doutorado,Ciências Humanas,1998,UNIJUI ,Projeto de extensão,2004,2006,UFMT ,1,Não,2,1,Sim,"R, SPSS",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Email institucional da SuCom (Superintendência de Comunicação e Marketing),Não,Não,Não,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Feminino,175,75,20/04/1975,Trabalho com carteira assinada/Vínculo Formal,Sozinho,1,Outro Estado,Carro/moto próprio,10,1,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram",Sim,4,"Ciclismo, Musculação",24,"A da esquerda se chama Kiki, a da direita se chama Bouba.",32
18/03/2024 13:23:52,UEM - Universidade Estadual de Maringá ,,Doutorado,Ciências Biológicas,2019,UFRJ ,"Iniciação científica, Monitoria, Projeto de extensão",2020,2023,UFRJ ,1,CNPQ,1,1,Sim,"R, Excel ou similares",Certamente sim,9,Aumento salarial e oportunidades mais promissoras.,Site da UFPR ou instituição de origem,Não,Não,Não,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Feminino,164,58,26/11/1994,Bolsista em tempo integral,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,1,Outro Estado,Carro/moto próprio,10,3,Cachorro,Não toco nenhum instrumento,"Facebook, Google+, Instagram, Linkedin",Sim,5,"Corrida, Musculação",29,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
18/03/2024 13:24:13,UFPR,TC - Tecnologia,Doutorado,Ciências Exatas,2021,UTFPR,"Iniciação científica, Projeto de extensão",2021,2023,UTFPR,3,CAPES,1,0,Sim,"R, Minitab, Excel ou similares, Matlab",Certamente sim,10,Conseguir um emprego.,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,186,96,23/06/1995,Bolsista em tempo integral,Com os pais,0,Interior do Paraná,Transporte público,50,0,Não possuo,Não toco nenhum instrumento,"Instagram, Linkedin, Outras",Não,3,Caminhada,26,"A da esquerda se chama Kiki, a da direita se chama Bouba.",33
18/03/2024 13:24:18,UFPR,JD - Jurídicas,Doutorado,Ciências Humanas,2018,UEL ,Não participei,2021,2023,UENP,4,Fundação Araucária,0,0,Não,Nunca usei,Certamente sim,10,Conseguir um emprego.,Email institucional da SuCom (Superintendência de Comunicação e Marketing),Sim,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,170,63,04/08/1995,Bolsista em tempo integral,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,1,Outro Estado,A pé,15,5,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",Sim,3,Musculação,35,"A da esquerda se chama Kiki, a da direita se chama Bouba.",27
18/03/2024 13:27:05,UFPR,SD - Saúde,Mestrado Acadêmico,Ciências Biológicas,2022,UNIFG,"Monitoria, Projeto de extensão",,2025,,0,Não,2,0,Não,Nunca usei,Certamente sim,9,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,160,62,19/05/2000,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,1,Outro Estado,Carro/moto próprio,1395,4,Não possuo,Não toco nenhum instrumento,Instagram,Sim,3,Musculação,30,"A da esquerda se chama Kiki, a da direita se chama Bouba.",1
